from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
10860,12020,0,240,,
10860,12022,0,240,,
10860,12230,0,240,,
10860,12231,0,240,,
10860,12332,0,240,,
10860,8020,2,120,,
10860,8033,2,120,,
10865,10866,0,240,,
10865,10867,0,240,,
10865,12693,0,240,,
10865,4242,0,240,,
10865,4471,0,240,,
10865,4568,0,240,,
10865,8037,0,240,,
10865,989,0,240,,
10866,10865,0,240,,
10866,10866,2,120,,
10866,10867,0,240,,
10866,12693,0,240,,
10866,4242,2,120,,
10866,4459,0,240,,
10866,4471,0,240,,
10866,4568,2,120,,
10866,8037,0,240,,
10866,989,2,120,,
10867,8037,2,120,,
10874,7117,2,300,,
10879,10879,0,240,,
10879,10882,0,240,,
10879,4018,2,300,,
10879,4228,2,300,,
10880,10880,0,240,,
10880,10881,0,240,,
10880,11764,2,360,,
10880,11882,0,240,,
10880,5045,0,240,,
10880,5122,0,240,,
10880,5262,0,240,,
10880,5494,0,240,,
10880,5667,0,240,,
10880,5668,0,240,,
10880,5768,0,240,,
10880,5769,0,240,,
10880,5793,0,240,,
10880,5891,0,240,,
10880,6467,0,240,,
10880,8057,0,240,,
10880,8060,0,240,,
10881,10880,0,240,,
10881,11882,0,240,,
10881,5045,0,240,,
10881,5122,0,240,,
10881,5262,0,240,,
10881,5494,0,240,,
10881,5667,0,240,,
10881,5768,2,300,,
10881,5769,2,300,,
10881,5793,0,240,,
10881,5891,2,300,,
10882,10879,0,240,,
10882,10882,0,240,,
10882,4018,2,300,,
10884,10884,0,240,,
10884,5844,0,240,,
10884,8056,2,300,,
10884,8061,2,300,,
10885,10885,0,240,,
10885,10886,0,240,,
10885,10887,0,240,,
10885,10888,0,240,,
10885,10889,0,240,,
10885,10890,0,240,,
10885,10891,0,240,,
10885,10892,0,240,,
10885,12655,0,240,,
10885,12793,0,240,,
10886,10885,0,240,,
10886,10887,0,240,,
10886,10888,0,240,,
10886,10889,0,240,,
10886,10890,0,240,,
10886,10892,0,240,,
10886,12655,0,240,,
10886,12793,0,240,,
10888,10885,0,240,,
10888,10886,0,240,,
10888,10887,0,240,,
10888,10888,0,240,,
10888,10889,0,240,,
10888,10890,0,240,,
10888,10891,0,240,,
10888,10892,0,240,,
10888,12655,0,240,,
10888,12793,0,240,,
10890,10885,0,240,,
10890,10888,0,240,,
10890,10889,0,240,,
10890,12655,0,240,,
10890,12793,0,240,,
10891,10885,0,240,,
10891,10886,0,240,,
10891,10887,0,240,,
10891,10888,0,240,,
10891,10889,0,240,,
10891,10890,0,240,,
10891,10891,0,240,,
10891,10892,0,240,,
10891,12655,0,240,,
10891,12793,0,240,,
10892,10885,0,240,,
10892,10886,0,240,,
10892,10887,0,240,,
10892,10888,0,240,,
10892,10889,0,240,,
10892,10890,0,240,,
10892,10892,0,240,,
10892,12655,0,240,,
10893,10316,2,300,,
10893,12673,2,300,,
10893,7828,0,240,,
10895,779,2,480,,
1091,8753,2,300,,
1091,8762,2,300,,
10914,10914,0,240,,
10914,5148,0,240,,
10914,5252,0,240,,
10914,5890,0,240,,
10914,7639,0,240,,
10916,11664,2,480,,
10916,5180,0,240,,
10916,5183,2,360,,
10916,6060,2,360,,
10916,9720,2,480,,
1092,902,0,240,,
1092,915,0,240,,
10921,1685,2,300,,
10921,1736,2,300,,
10929,2203,0,240,,
10929,2252,0,240,,
10929,2397,0,240,,
10929,3535,0,240,,
10929,5989,0,240,,
10929,6984,0,240,,
10929,8052,0,240,,
10929,8065,0,240,,
10947,11867,0,240,,
10947,4461,0,240,,
10948,10914,0,240,,
10948,5148,0,240,,
10948,5252,0,240,,
10948,5890,0,240,,
10948,7639,0,240,,
10948,8055,0,240,,
10948,8062,0,240,,
10959,10961,2,300,,
10959,11759,2,420,,
10959,1896,2,420,,
10960,10958,2,420,,
10960,10961,2,360,,
10961,10958,2,300,,
10961,11759,2,360,,
10961,1896,2,420,,
10966,13003,2,360,,
10966,549,0,240,,
10967,13003,2,360,,
10967,549,2,360,,
10968,313,2,360,,
10968,365,0,240,,
10968,366,0,240,,
10969,313,2,360,,
10969,365,0,240,,
10971,10972,0,240,,
10971,8747,0,240,,
10971,8756,0,240,,
10971,9952,0,240,,
10972,10034,2,300,,
10972,10971,0,240,,
10972,10972,0,240,,
10972,8747,0,240,,
10972,8756,0,240,,
10972,9952,0,240,,
10976,230,2,300,,
11,11427,2,300,,
11,11542,0,240,,
110,11113,0,240,,
110,322,0,240,,
110,569,0,240,,
11007,1312,0,240,,
11007,1350,0,240,,
11009,663,0,240,,
11009,706,0,240,,
11010,793,0,240,,
11010,842,0,240,,
11011,1312,0,240,,
11011,1350,0,240,,
11013,1042,0,240,,
11013,1105,0,240,,
11014,337,0,240,,
11014,463,2,300,,
11015,663,0,240,,
11015,706,0,240,,
11016,113,0,240,,
11016,56,0,240,,
11020,165,0,240,,
11020,251,0,240,,
11021,337,2,300,,
11021,463,2,300,,
11022,793,0,240,,
11022,842,0,240,,
11023,1042,0,240,,
11023,1105,0,240,,
11029,11029,0,240,,
11032,11032,0,240,,
11032,11998,0,240,,
1105,11013,2,300,,
1105,11023,0,240,,
11056,600,2,300,,
11074,5456,0,240,,
11074,5516,0,240,,
11075,6051,0,240,,
11075,9023,0,240,,
11076,6051,0,240,,
11076,9022,0,240,,
11077,5474,2,360,,
11077,5498,2,360,,
11078,5474,2,360,,
11078,5498,2,360,,
1108,1514,0,240,,
1108,1596,0,240,,
11088,11227,2,360,,
11088,11278,2,300,,
11088,11279,2,300,,
11088,12548,2,300,,
11095,8752,2,300,,
11095,8761,2,300,,
11095,906,0,240,,
11095,911,0,240,,
11113,110,0,240,,
11113,569,2,300,,
11113,59,2,300,,
11113,60,0,240,,
11114,7645,2,540,,
11122,5561,0,240,,
11122,5623,0,240,,
11123,6019,2,300,,
11123,6073,0,240,,
11124,6019,2,300,,
11124,6073,0,240,,
11126,12196,2,300,,
11126,9291,0,240,,
11126,9293,2,360,,
11127,5025,2,300,,
11127,5067,0,240,,
11128,5138,0,240,,
11128,8542,0,240,,
11129,5138,0,240,,
11129,8542,0,240,,
11130,5025,2,300,,
11130,5067,0,240,,
11131,5651,0,240,,
11131,5683,0,240,,
11132,5651,0,240,,
11132,5683,0,240,,
11133,5715,0,240,,
11133,5729,0,240,,
11134,5715,0,240,,
11134,5729,0,240,,
11135,5781,0,240,,
11137,5918,0,240,,
11137,5961,0,240,,
1116,12631,2,300,,
1116,12632,2,300,,
11196,11199,0,240,,
11199,11196,0,240,,
1120,1971,0,240,,
1120,2062,2,300,,
11200,1769,2,300,,
11204,13054,0,240,,
11204,2264,0,240,,
11208,6486,0,240,,
11208,6566,0,240,,
11208,6802,0,240,,
11216,11695,0,240,,
11216,9087,0,240,,
11221,10360,2,360,,
11221,11088,2,300,,
11221,11221,0,240,,
11221,11227,0,240,,
11221,11260,2,420,,
11221,12764,2,360,,
11221,932,2,420,,
11227,10360,2,360,,
11227,11260,2,420,,
11243,11243,0,240,,
11243,11247,2,300,,
11243,11295,2,300,,
11243,11707,2,300,,
11243,12716,2,300,,
11243,6753,0,240,,
11247,11243,2,300,,
11247,11247,0,240,,
11247,11295,2,360,,
11247,11707,2,300,,
11247,12716,2,360,,
11247,6753,0,240,,
11248,11246,0,240,,
11248,11253,0,240,,
11248,11266,0,240,,
11248,11267,0,240,,
11248,11269,0,240,,
11248,11289,0,240,,
11248,11763,0,240,,
11248,11788,0,240,,
11251,11251,0,240,,
11251,11286,0,240,,
11251,11287,0,240,,
11252,11251,0,240,,
11252,11252,0,240,,
11252,11286,0,240,,
11252,11287,0,240,,
11254,11398,2,300,,
11254,6754,0,240,,
11255,11255,4,0,14568145,14568121
11255,11255,4,0,14568146,14568122
11255,11255,4,0,14568147,14568123
11255,11255,4,0,14568148,14568124
11255,11255,4,0,14568149,14568125
11255,11255,4,0,14568150,14568126
11255,11255,4,0,14568151,14568127
11255,11255,4,0,14568152,14568128
11255,11255,4,0,14568153,14568129
11255,11255,4,0,14568154,14568130
11255,11255,4,0,14568155,14568131
11255,11255,4,0,14568156,14568132
11255,11255,4,0,14568157,14568133
11255,11255,4,0,14568158,14568134
11255,11255,4,0,14568159,14568135
11255,11255,4,0,14568160,14568136
11255,11255,4,0,14568161,14568137
11255,11255,4,0,14568162,14568138
11255,11255,4,0,14568163,14568139
11255,11255,4,0,14568164,14568140
11255,11255,4,0,14568165,14568141
11255,11255,4,0,14568166,14568142
11255,11255,4,0,14568167,14568143
11255,11255,4,0,14568168,14568144
11255,11255,4,0,14568189,14568178
11255,11255,4,0,14568190,14568181
11255,11255,4,0,14568191,14568179
11255,11255,4,0,14568192,14568180
11255,11255,4,0,14568193,14568182
11255,11255,4,0,14568194,14568183
11255,11255,4,0,14568195,14568184
11255,11255,4,0,14568196,14568185
11255,11255,4,0,14568197,14568186
11255,11255,4,0,14568198,14568187
11255,11255,4,0,14568199,14568188
11255,11255,4,0,14568200,14568169
11255,11255,4,0,14568201,14568170
11255,11255,4,0,14568202,14568171
11255,11255,4,0,14568203,14568172
11255,11255,4,0,14568204,14568173
11255,11255,4,0,14568205,14568174
11255,11255,4,0,14568206,14568175
11255,11255,4,0,14568207,14568176
11255,11255,4,0,14568208,14568177
11256,11246,0,240,,
11256,11248,0,240,,
11256,11253,0,240,,
11256,11266,0,240,,
11256,11267,0,240,,
11256,11269,0,240,,
11256,11288,0,240,,
11256,11289,0,240,,
11256,11763,0,240,,
11256,11788,0,240,,
11258,10360,0,240,,
11258,11258,4,0,14534376,14527243
11258,11258,4,0,14534377,14527244
11258,11258,4,0,14534378,14527245
11258,11258,4,0,14534379,14527246
11258,11258,4,0,14534380,14527247
11258,11258,4,0,14534381,14527249
11258,11258,4,0,14534382,14527250
11258,11258,4,0,14534383,14527251
11258,11258,4,0,14534384,14527252
11258,11258,4,0,14534385,14527253
11258,11258,4,0,14534386,14527254
11258,11258,4,0,14534387,14527255
11258,11258,4,0,14534388,14527186
11258,11258,4,0,14534389,14527187
11258,11258,4,0,14534390,14527188
11258,11258,4,0,14534391,14527189
11258,11258,4,0,14534392,14527190
11258,11258,4,0,14534393,14527191
11258,11258,4,0,14534394,14527209
11258,11258,4,0,14534395,14527210
11258,11258,4,0,14534396,14527211
11258,11258,4,0,14534397,14527212
11258,11258,4,0,14534398,14527213
11258,11258,4,0,14534399,14527214
11258,11258,4,0,14534400,14527215
11258,11258,4,0,14534401,14527185
11258,11258,4,0,14534402,14527216
11258,11258,4,0,14534403,14527217
11258,11258,4,0,14534404,14527218
11258,11258,4,0,14534405,14527219
11258,11258,4,0,14534406,14527220
11258,11258,4,0,14534407,14527221
11258,11258,4,0,14534408,14527222
11258,11258,4,0,14534409,14527223
11258,11258,4,0,14534410,14527224
11258,11258,4,0,14534411,14527225
11258,11258,4,0,14534412,14527226
11258,11258,4,0,14534413,14527227
11258,11258,4,0,14534414,14527228
11258,11258,4,0,14534415,14527229
11258,11258,4,0,14534416,14527230
11258,11258,4,0,14534417,14527232
11258,11258,4,0,14534418,14527193
11258,11258,4,0,14534419,14527194
11258,11258,4,0,14534420,14527195
11258,11258,4,0,14534421,14527196
11258,11258,4,0,14534422,14527197
11258,11258,4,0,14534423,14527248
11258,11258,4,0,14534424,14527198
11258,11258,4,0,14534425,14527199
11258,11258,4,0,14534426,14527200
11258,11258,4,0,14534427,14527201
11258,11258,4,0,14534428,14527202
11258,11258,4,0,14534429,14527203
11258,11258,4,0,14534430,14527204
11258,11258,4,0,14534431,14527205
11258,11258,4,0,14534432,14527206
11258,11258,4,0,14534433,14527207
11258,11258,4,0,14534434,14527208
11258,11258,4,0,14534435,14527233
11258,11258,4,0,14534436,14527234
11258,11258,4,0,14534437,14527235
11258,11258,4,0,14534438,14527231
11258,11258,4,0,14534439,14527192
11258,11258,4,0,14534440,14527192
11258,11258,4,0,14534441,14527236
11258,11258,4,0,14534442,14527237
11258,11258,4,0,14534443,14527238
11258,11258,4,0,14534444,14527241
11258,11258,4,0,14534445,14527231
11258,11258,4,0,14534446,14527239
11258,11258,4,0,14534447,14527207
11258,11258,4,0,14534448,14527208
11258,11258,4,0,14534449,14527233
11258,11258,4,0,14534450,14527234
11258,11258,4,0,14534451,14527235
11258,11258,4,0,14534452,14527236
11258,11258,4,0,14534453,14527237
11258,11258,4,0,14534454,14527238
11258,11258,4,0,14534455,14527241
11258,11258,4,0,14534456,14527239
11258,11258,4,0,14534457,14527240
11258,11258,4,0,14534458,14527240
11258,11258,4,0,14534459,14527242
11258,11258,4,0,14534530,14527332
11258,11258,4,0,14534531,14527384
11258,11258,4,0,14534532,14527382
11258,11258,4,0,14534533,14527383
11258,11258,4,0,14534534,14527385
11258,11258,4,0,14534535,14527386
11258,11258,4,0,14534569,14527371
11258,11258,4,0,14534570,14527372
11258,11258,4,0,14534571,14527373
11258,11258,4,0,14534572,14527374
11258,11258,4,0,14534573,14527375
11258,11258,4,0,14534574,14527376
11258,11258,4,0,14534575,14527377
11258,11258,4,0,14534576,14527378
11258,11258,4,0,14534577,14527379
11258,11258,4,0,14534578,14527365
11258,11258,4,0,14534579,14527366
11258,11258,4,0,14534580,14527380
11258,11258,4,0,14534581,14527381
11258,11258,4,0,14534582,14527343
11258,11258,4,0,14534583,14527344
11258,11258,4,0,14534584,14527346
11258,11258,4,0,14534585,14527345
11258,11258,4,0,14534586,14527348
11258,11258,4,0,14534587,14527349
11258,11258,4,0,14534588,14527350
11258,11258,4,0,14534589,14527351
11258,11258,4,0,14534590,14527352
11258,11258,4,0,14534591,14527353
11258,11258,4,0,14534592,14527331
11258,11258,4,0,14534593,14527329
11258,11258,4,0,14534594,14527326
11258,11258,4,0,14534595,14527327
11258,11258,4,0,14534596,14527328
11258,11258,4,0,14534599,14527330
11258,11258,4,0,14534664,14527495
11258,11258,4,0,14534665,14527496
11258,11258,4,0,14534688,14527469
11258,11258,4,0,14534689,14527475
11258,11258,4,0,14534693,14527521
11258,11258,4,0,14534694,14527522
11258,11258,4,0,14534695,14527523
11258,11258,4,0,14534696,14527524
11258,11258,4,0,14534697,14527525
11258,11258,4,0,14534698,14527460
11258,11258,4,0,14534699,14527461
11258,11258,4,0,14534700,14527462
11258,11258,4,0,14534701,14527474
11258,11258,4,0,14534702,14527489
11258,11258,4,0,14534703,14527483
11258,11258,4,0,14534705,14527472
11258,11258,4,0,14534706,14527477
11258,11258,4,0,14534707,14527478
11258,11258,4,0,14534708,14527479
11258,11258,4,0,14534709,14527480
11258,11258,4,0,14534710,14527481
11258,11258,4,0,14534711,14527482
11258,11258,4,0,14534712,14527485
11258,11258,4,0,14534713,14527476
11258,11258,4,0,14534714,14527486
11258,11258,4,0,14534715,14527487
11258,11258,4,0,14534716,14527488
11258,11258,4,0,14534717,14527490
11258,11258,4,0,14534718,14527491
11258,11258,4,0,14534719,14527492
11258,11258,4,0,14534720,14527493
11258,11258,4,0,14534721,14527494
11258,11258,4,0,14534722,14527463
11258,11258,4,0,14534723,14527464
11258,11258,4,0,14534724,14527465
11258,11258,4,0,14534725,14527466
11258,11258,4,0,14534726,14527467
11258,11258,4,0,14534727,14527468
11258,11258,4,0,14534728,14527470
11258,11258,4,0,14534729,14527471
11258,11258,4,0,14607168,14607082
11258,11258,4,0,14607169,14607083
11258,11258,4,0,14607170,14607084
11258,11258,4,0,14607171,14607085
11258,11258,4,0,14607172,14607086
11258,11258,4,0,14607173,14607087
11258,11258,4,0,14607174,14607088
11258,11258,4,0,14607175,14607089
11258,11258,4,0,14607176,14607090
11258,11258,4,0,14607177,14607091
11258,11258,4,0,14607178,14607092
11258,11258,4,0,14607179,14607093
11258,11258,4,0,14607180,14607094
11258,11258,4,0,14607181,14607095
11258,11258,4,0,14607182,14607096
11258,11258,4,0,14607183,14607097
11258,11258,4,0,14607184,14607098
11258,11258,4,0,14607185,14607099
11258,11258,4,0,14607186,14607100
11258,11258,4,0,14607187,14607101
11258,11258,4,0,14607188,14607102
11258,11258,4,0,14607189,14607103
11258,11258,4,0,14607190,14607104
11258,11258,4,0,14607191,14607105
11258,11258,4,0,14607192,14607106
11258,11258,4,0,14607193,14607107
11258,11258,4,0,14607194,14607108
11258,11258,4,0,14607195,14607109
11258,11258,4,0,14607196,14607110
11258,11258,4,0,14607197,14607111
11258,11258,4,0,14607198,14607112
11258,11258,4,0,14607199,14607113
11258,11258,4,0,14607200,14607114
11258,11258,4,0,14607201,14607115
11258,11258,4,0,14607202,14607116
11258,11258,4,0,14607203,14607117
11258,11258,4,0,14607204,14607118
11258,11258,4,0,14607205,14607119
11258,11258,4,0,14607206,14607120
11258,11258,4,0,14607207,14607121
11258,11258,4,0,14607208,14607122
11258,11258,4,0,14607209,14607123
11258,11258,4,0,14607210,14607124
11258,11258,4,0,14607211,14527387
11258,11258,4,0,14607312,14607245
11258,11258,4,0,14607313,14607246
11258,11258,4,0,14607314,14607247
11258,11258,4,0,14607315,14607248
11258,11258,4,0,14607316,14607249
11258,11258,4,0,14607317,14607250
11258,11258,4,0,14607318,14607251
11258,11258,4,0,14607319,14607252
11258,11258,4,0,14607320,14607253
11258,11258,4,0,14607321,14607254
11258,11258,4,0,14607322,14607255
11258,11258,4,0,14607323,14607256
11258,11258,4,0,14607324,14607257
11258,11258,4,0,14607325,14607258
11258,11258,4,0,14607326,14607259
11258,11258,4,0,14607327,14607260
11258,11258,4,0,14607328,14607261
11258,11258,4,0,14607329,14607262
11258,11258,4,0,14607330,14607263
11258,11258,4,0,14607331,14607264
11258,11258,4,0,14607332,14607265
11258,11258,4,0,14607333,14607266
11258,11258,4,0,14607334,14607267
11258,11258,4,0,14607335,14607268
11258,11258,4,0,14607336,14607269
11258,11258,4,0,14607337,14607270
11258,11258,4,0,14607338,14607271
11258,11258,4,0,14607339,14607272
11258,11258,4,0,14607340,14607273
11258,11258,4,0,14607341,14607274
11258,11258,4,0,14607342,14607275
11258,11258,4,0,14607343,14607276
11258,11258,4,0,14607344,14607277
11258,11258,4,0,14607345,14607278
11258,11276,2,360,,
11258,11277,2,300,,
11259,12232,2,360,,
11259,12240,2,360,,
11260,10360,0,240,,
11260,11221,2,420,,
11260,11227,2,420,,
11260,11258,0,240,,
11260,11260,0,240,,
11260,11260,4,0,14527115,14534308
11260,11260,4,0,14527116,14534350
11260,11260,4,0,14527117,14534351
11260,11260,4,0,14527118,14534352
11260,11260,4,0,14527119,14534353
11260,11260,4,0,14527120,14534354
11260,11260,4,0,14527121,14534355
11260,11260,4,0,14527122,14534356
11260,11260,4,0,14527123,14534357
11260,11260,4,0,14527124,14534358
11260,11260,4,0,14527125,14534299
